timestamp,sample_num,lc1,lc2,lc3,lc4
1757512330.486721,10120,-207104,-1786369,-109312,26879
1757512330.487640,10121,-212224,-3083777,-109056,31487
1757512330.488580,10122,-212224,-1739521,-100352,20991
1757512330.489484,10123,-208640,-3330561,-105728,32255
1757512330.490475,10124,-206848,-2557441,-102656,34303
1757512330.491417,10125,-212224,-2392577,-107520,27135
1757512330.492328,10126,-214272,-2221313,-110848,31743
1757512330.493235,10127,-210432,-3053825,-113664,24319
1757512330.494104,10128,-215040,-1831425,-103680,22783
1757512330.495097,10129,-207616,-3977217,-110336,32767
1757512330.495974,10130,-213760,-4052225,-112384,18943
1757512330.496814,10131,-218112,-2477569,-97280,32255
1757512330.497760,10132,-211968,-4063745,-108544,27647
1757512330.498628,10133,-205568,-1807361,-103168,34815
1757512330.499630,10134,-213760,-3186433,-105728,30463
1757512330.500583,10135,-210944,-1937153,-99840,27647
1757512330.501395,10136,-216576,-3502081,-111360,30975
1757512330.502435,10137,-203264,-1881857,-102400,34303
1757512330.503346,10138,-208640,-2351361,-110848,20735
1757512330.504251,10139,-219136,-1875969,-105984,27903
1757512330.505178,10140,-210432,-2631169,-102400,27903
1757512330.506033,10141,-212736,-2092545,-111360,35839
1757512330.506992,10142,-215808,-3490817,-99328,33535
1757512330.507915,10143,-207616,-3860737,-89856,46847
1757512330.508881,10144,-209408,-2685697,-109056,24063
1757512330.509773,10145,-212992,-4008449,-105472,35583
1757512330.510706,10146,-217856,-2903809,-108032,37631
1757512330.511602,10147,-204544,-2834945,-107520,31743
1757512330.512446,10148,-215040,-2690817,-103168,33791
1757512330.513457,10149,-206848,-3601921,-106496,38143
1757512330.514389,10150,-213248,-2587649,-109312,34559
1757512330.515288,10151,-212480,-2388481,-107264,37887
1757512330.516217,10152,-207104,-2816001,-103680,34303
1757512330.517099,10153,-213504,-2736641,-105728,34047
1757512330.518026,10154,-211456,-1893633,-107008,30719
1757512330.518881,10155,-210688,-3898113,-106496,31231
1757512330.519919,10156,-209152,-4360449,-130816,39167
1757512330.520837,10157,-215040,-3340545,-103680,44543
1757512330.521870,10158,-205056,-3923713,-115968,33023
1757512330.522705,10159,-227072,-3226881,-110848,35327
1757512330.523602,10160,-214016,-2964993,-108544,26879
1757512330.524416,10161,-214272,-3092481,-105216,30719
1757512330.525579,10162,-212224,-3746049,-118272,20991
1757512330.526356,10163,-214016,-2747649,-98816,29183
1757512330.527251,10164,-208896,-2782209,-119040,28927
1757512330.528218,10165,-218880,-2697729,-95232,26623
1757512330.529082,10166,-208128,-3139073,-114176,23807
1757512330.530000,10167,-206592,-1722113,-88576,30207
1757512330.530843,10168,-209664,-3995649,-113408,29695
1757512330.531846,10169,-209664,-7844353,-100096,28927
1757512330.532918,10170,-214016,-2816001,-105472,36351
1757512330.533818,10171,-210432,-3831809,-102656,26879
1757512330.534616,10172,-204288,-2779393,-96512,32767
1757512330.535444,10173,-210944,-2861057,-100352,33535
1757512330.536459,10174,-207616,-2998529,-108544,27135
1757512330.537469,10175,-207104,-3734017,-97792,33279
1757512330.538196,10176,-203776,-2011905,-110080,31231
1757512330.539160,10177,-217344,-2631681,-107776,28415
1757512330.540040,10178,-215552,-2502657,-102912,32767
1757512330.541094,10179,-206592,-2825473,-103680,23039
1757512330.542023,10180,-209920,-2294529,-110592,27903
1757512330.543019,10181,-214272,-3702785,-91136,40191
1757512330.543787,10182,-207360,-2571009,-104448,37119
1757512330.544735,10183,-215808,-3752705,-98560,33791
1757512330.545833,10184,-210688,-1847809,-111616,28159
1757512330.546631,10185,-202752,-3087617,-105984,33023
1757512330.547469,10186,-210432,-1683713,-88576,32767
1757512330.548309,10187,-208896,-3716865,-100352,28671
1757512330.549463,10188,-208384,-1890049,-108800,32511
1757512330.550228,10189,-209152,-2247169,-107264,24831
1757512330.551129,10190,-198400,-1720321,-110848,30975
1757512330.552068,10191,-209408,-2630913,-107264,25599
1757512330.553050,10192,-206080,-2286849,-104192,25343
1757512330.553875,10193,-210432,-3728385,-105984,37119
1757512330.554883,10194,-205568,-3389441,-116480,24831
1757512330.555781,10195,-216064,-1895937,-92416,29439
1757512330.556693,10196,-209152,-3719169,-103168,29951
1757512330.557574,10197,-200704,-1834241,-98816,31999
1757512330.558586,10198,-207104,-3346689,-104960,27391
1757512330.559550,10199,-213248,-1807105,-93952,33023
1757512330.560413,10200,-209152,-3291393,-91648,31231
1757512330.561477,10201,-213248,-1977345,-102400,32255
1757512330.562203,10202,-201472,-2511361,-99072,24831
1757512330.563109,10203,-205568,-2434561,-98816,31231
1757512330.564037,10204,-203264,-2896129,-109312,27391
1757512330.564902,10205,-212224,-1992449,-106752,26623
1757512330.565912,10206,-211456,-3399169,-105984,35839
1757512330.566749,10207,-213760,-4288001,-72192,41983
1757512330.567812,10208,-211968,-1915393,-110080,29439
1757512330.568634,10209,-209920,-3788545,-99328,31999
1757512330.569556,10210,-218624,-2185729,-108544,30719
1757512330.570692,10211,-204544,-2750721,-105728,35071
1757512330.571483,10212,-205568,-1842945,-103680,40703
1757512330.572292,10213,-211968,-3571713,-100864,38399
1757512330.573133,10214,-212992,-1998081,-103936,33023
1757512330.574192,10215,-208640,-2425601,-99072,33791
1757512330.575052,10216,-218624,-1934593,-101120,34303
1757512330.575925,10217,-209408,-2526977,-97536,32255
1757512330.576828,10218,-203008,-2389505,-111616,31487
1757512330.577785,10219,-211968,-3443457,-99328,34815
1757512330.578735,10220,-208384,-2886657,-107264,27903
1757512330.579618,10221,-206592,-3280385,-90624,35327
1757512330.580531,10222,-208384,-3590401,-114432,32767
1757512330.581481,10223,-209152,-3400961,-100864,39679
1757512330.582365,10224,-214784,-2984705,-110080,28671
1757512330.583376,10225,-212480,-3016705,-99072,35071
1757512330.584266,10226,-214528,-3683585,-118272,27903
1757512330.585079,10227,-209408,-2704385,-107264,29183
1757512330.586012,10228,-209152,-2759425,-113408,28159
1757512330.587018,10229,-213248,-2889473,-101376,29439
1757512330.587929,10230,-210944,-2810113,-114944,29439
1757512330.588825,10231,-214272,-1761793,-96256,29951
1757512330.589704,10232,-215808,-3786753,-97024,28671
1757512330.590636,10233,-213248,-7687169,-99840,30975
1757512330.591448,10234,-206848,-2707969,-105216,27647
1757512330.592480,10235,-211456,-3719937,-100608,34559
1757512330.593302,10236,-210432,-2763009,-97024,33791
1757512330.594388,10237,-212480,-3105025,-100096,28927
1757512330.595337,10238,-196608,-2938625,-105472,33535
1757512330.596207,10239,-211456,-4090113,-111616,39167
1757512330.596959,10240,-213248,-2371329,-106240,34303
1757512330.597869,10241,-206592,-2748161,-102912,31231
1757512330.598845,10242,-207616,-2504961,-103424,23551
1757512330.599765,10243,-199936,-2903041,-108288,28159
1757512330.600684,10244,-202752,-1787393,-95232,27391
1757512330.601583,10245,-203520,-3392257,-101632,46847
1757512330.602637,10246,-203264,-2371073,-101888,22271
1757512330.603511,10247,-208128,-3428353,-102656,23551
1757512330.604445,10248,-217600,-2111489,-92160,16383
1757512330.605499,10249,-207360,-2889985,-108288,30975
1757512330.606372,10250,-212224,-1828865,-93184,29183
1757512330.607264,10251,-214272,-3661569,-99584,29183
1757512330.608176,10252,-205056,-1950465,-97536,27647
1757512330.609193,10253,-210688,-2095873,-101376,26623
1757512330.609970,10254,-208128,-1748225,-101376,28927
1757512330.610925,10255,-209664,-2523137,-109056,31743
1757512330.611764,10256,-207616,-1858305,-101888,31487
1757512330.612734,10257,-207616,-3783169,-97280,19455
1757512330.613705,10258,-209152,-3249921,-104192,22015
1757512330.614502,10259,-220672,-2515969,-104960,23551
1757512330.615628,10260,-205312,-3494913,-94976,37375
1757512330.616443,10261,-204544,-1943297,-101120,33279
